Domain,Term,gpt-4o,gpt2,kl3m-001-32k,kl3m-003-64k,kl3m-004-128k-cased,kl3m-004-128k-uncased,kl3m-004-char-16k-cased,kl3m-004-char-4k-cased,kl3m-004-char-8k-cased,llama3,roberta-base
Legal,11 U.S.C. § 362(a),10,13,13,6,6,6,12,13,13,11,15
Legal,res judicata,3,4,6,3,2,2,4,5,5,5,6
Legal,stare decisis,4,5,5,4,3,3,5,6,6,5,7
Legal,habeas corpus,4,3,4,4,2,2,4,5,5,5,5
Legal,certiorari,3,3,2,2,1,1,4,4,4,4,5
Legal,de novo review,3,4,6,3,3,3,5,6,6,4,6
Legal,28 C.F.R. § 14.2(a),12,14,15,8,8,8,14,14,14,13,16
Legal,42 U.S.C. § 1983,9,9,12,5,5,5,10,10,10,10,11
Legal,Fed. R. Civ. P. 12(b)(6),14,14,15,10,10,10,14,15,15,15,16
Legal,prima facie,3,4,5,3,2,2,4,5,5,5,6
Financial,EBITDA,3,3,3,2,1,1,3,4,3,4,5
Financial,P/E ratio,3,4,6,4,4,4,5,6,6,4,6
Financial,10-K filing,3,4,5,4,4,4,5,6,6,4,6
Financial,SEC Form 8-K,5,5,7,5,5,5,6,6,6,6,7
Financial,quarterly dividend,3,3,5,3,2,2,6,8,8,4,5
Financial,year-over-year growth,4,6,8,6,6,6,7,11,11,5,8
Financial,Basel III compliance,4,4,6,4,3,3,6,9,9,5,6
Financial,GAAP accounting,3,3,5,2,2,2,5,7,7,4,5
Financial,ROI analysis,2,3,4,3,2,2,5,6,6,3,5
Financial,market capitalization,2,3,4,2,2,2,6,10,10,4,5
