Token Length,kl3m-004-128k-cased,kl3m-004-128k-uncased,gpt-4o,llama3,roberta-base,gpt2
1,256,256,1044,256,256,256
2,3638,2372,1958,4287,1916,1916
3,16426,19718,1838,15369,5213,5212
4,22552,22202,1702,18557,7222,7221
5,17133,16791,1203,17226,7307,7305
6,14152,13879,718,19356,6457,6456
7,12231,12030,470,15062,5912,5912
8,10944,10496,282,10710,5055,5055
9,8806,8356,150,9579,3845,3845
10,7032,6605,71,5710,2813,2813
Total (≤10 chars),113170,112705,9436,116112,45996,45991
% of Vocabulary,86.34%,85.99%,98.95%,90.53%,91.51%,91.51%
